Brand	Model	Range	Price	Dest	Tax Credit	Price After Credit	Battery Size	Drive Type	Seats	Type	Payload	Towing	Charging Cost	Operating Cost (c/mi)	Availability	Fuel Type
Audi	e-tron GT quattro 20" (2022)	238	$102,400 	$1,095 	$7,500 	$95,995 	93.4	AWD	5	Sedan	1036	4000	$14.01 	5.89	18m	EV
Audi	RS e-tron GT quattro 20" (2022)	232	$142,400 	$1,095 	$7,500 	$135,995 	93.4	AWD	5	Sedan	992	2600	$14.01 	6.04		EV
Audi	e-tron quattro 20" (2022)	222	$65,900 	$1,095 	$7,500 	$59,495 	95	AWD	5	SUV	1014	4000	$14.25 	6.42		EV
Audi	e-tron Sportback quattro 20" (2022)	218	$69,100 	$1,095 	$7,500 	$62,695 	95	AWD	5	SUV	1058	4000	$14.25 	6.54		EV
Audi	e-tron S 20" (2022)	208	$84,800 	$1,095 	$7,500 	$78,395 	95	AWD	5	SUV	1014	4000	$14.25 	6.85		EV
Audi	e-tron S 21" (2022)	181	$87,450 	$1,095 	$7,500 	$81,045 	95	AWD	5	SUV	1014	3300	$14.25 	7.87		EV
Audi	e-tron S Sportback 20" (2022)	212	$87,400 	$1,095 	$7,500 	$80,995 	95	AWD	5	SUV	1014	4000	$14.25 	6.72		EV
Audi	e-tron S Sportback 21" (2022)	185	$90,050 	$1,095 	$7,500 	$83,645 	95	AWD	5	SUV	1014	4000	$14.25 	7.7		EV
Audi	Q4 40 e-tron 19" (2022)	250	$43,900 	$1,095 	$7,500 	$37,495 	82	RWD	5	SUV	1300	2650	$12.30 	4.92		EV
Audi	Q4 50 e-tron quattro 19" (2022)	241	$49,990 	$1,095 	$7,500 	$43,585 	82	AWD	5	SUV	1290	2600	$12.30 	5.1		EV
Audi	Q4 Sportback 50 e-tron quattro 20" (2022)	241	$52,700 	$1,095 	$7,500 	$46,295 	82	AWD	5	SUV	1268	2600	$12.30 	5.1		EV
BMW	i4 eDrive40 18" (2022)	301	$55,400 	$995 	$7,500 	$48,895 	83.9	RWD	5	Sedan	1224	5732	$12.59 	4.18		EV
BMW	i4 M50 19" (2022)	270	$65,900 	$995 	$7,500 	$59,395 	83.9	AWD	5	Sedan	1146	5500	$12.59 	4.66		EV
BMW	iX xDrive50 20" (2022)	324	$83,200 	$995 	$7,500 	$76,695 	112	AWD	5	SUV	1058	5512	$16.80 	5.19		EV
Cadillac	Lyriq Debut Edition (2023)	300	$58,795 	$1,195 	$7,500 	$52,490 	111.5	RWD	5	SUV	1000	8200	$16.73 	5.58		EV
Chevrolet	Bolt EV (2022)	259	$26,500 	$995 	$7,500 	$19,995 	65	FWD	5	SUV	950	2000	$9.75 	3.76	0	EV
Chevrolet	Bolt EUV (2022)	247	$27,800 	$995 	$7,500 	$21,295 	65	FWD	5	SUV	950	2000	$9.75 	3.95	0	EV
Ford	5-150 Pro SR 18" (202.2)	230	$39,974 	$1,695 	$7,500 	$34,169 	110	AWD	5	Truck	3325	13000	$16.50 	7.17		EV
Ford	F-150 Pro ER (fleets) 18" (2022)	300	$49,974 	$1,695 	$7,500 	$44,169 	145	AWD	5	Truck	2000	10000	$21.75 	7.25		EV
